#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list
CPX-4281	PaoABC periplasmic aldehyde oxidoreductase 	yagTSR complex	83333	CHEBI:49601(2)|CHEBI:49883(0)|CHEBI:57692(0)|CHEBI:71308(0)|P77165(1)|P77324(1)|P77489(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-21427148	GO:0047770(carboxylate reductase activity)|GO:0019439(aromatic compound catabolic process)|GO:0110095(cellular detoxification of aldehyde)|GO:1990204(oxidoreductase complex)|GO:0042597(periplasmic space)	intenz:1.2.99.6(identity)|complex portal:CPX-4281(complex-primary)|pubmed:23201473(see-also)|pubmed:27622978(see-also)|wwpdb:5G5G(identity)|wwpdb:5G5H(identity)|rhea:RHEA:56856(identity)	A periplasmic aldehyde oxidoreductase that oxidises aldehydes to the corresponding carboxylic acids. Preferentially detoxifies aromatic aldehydes, excluding purines. At high doses, aromatic aldehydes can act as antimicrobial agents.	The 135 kDa enzyme complex creates a set of redox centers involved in electron transfer and contains a transition metal molybdenum as a biologically active cofactor. 	Heterotrimer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P77165(1)|P77324(1)|P77489(1)
CPX-4284	RbsABC ribose ABC transporter	-	83333	P02925(1)|P04983(2)|P0AGI1(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-21444947	GO:0015752(D-ribose transmembrane transport)|GO:0015591(D-ribose transmembrane transporter activity)|GO:0015407(ATPase-coupled monosaccharide transmembrane transporter activity)|GO:0005524(ATP binding)|GO:0055052(ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing)|GO:0016021(integral component of membrane)	complex portal:CPX-4284(complex-primary)|pubmed:18634750(see-also)|pubmed:25533465(see-also)|intenz:7.5.2.7(identity)	Required for the high affinity uptake of ribose, the molecular precursor for nucleic acid synthesis. Member of the ATP-binding cassette (ABC) transporter family, prokaryote-type (PK-type) subfamily.	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentamer	Ribose (CHEBI:33942)	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P02925(1)|P04983(2)|P0AGI1(2)
CPX-4286	Ferric-hydroxamate ABC transporter complex	Iron (III) hydroxamate ABC transporter complex|fhuCDB|Ferric-hydroxamate inner membrane transporter complex	83333	P06972(2)|P07821(2)|P07822(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0098711(iron ion import across plasma membrane)|GO:0008199(ferric iron binding)|GO:0055052(ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing)|GO:0016887(ATPase activity)|GO:0005524(ATP binding)	complex portal:CPX-4286(complex-primary)|pubmed:18634750(see-also)|intenz:7.2.2.16(identity)|pubmed:1551849(see-also)	Imports various ferric (Fe3+) hyroxamates such as coprogen or ferrichrome from the periplasm across the cytoplasmic membrane. Iron hydroxamates are transferred from fhuD to fhuB, then translocates across the cytoplasmic membrane energized by fhuC-catalyzed ATP hydrolysis, which induces a conformational change in fhuB. Member of the ATP-binding cassette (ABC) transporter family, prokaryote-type (PK-type) subfamily.	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentamer	Ferric-hydroxamate (CHEBI:84688)	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P06972(2)|P07821(2)|P07822(1)
CPX-4312	Taurine ABC transporter complex	TauABC complex	83333	Q47537(1)|Q47538(2)|Q47539(2)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0016021(integral component of membrane)|GO:0015411(ATPase-coupled taurine transporter activity)|GO:0005524(ATP binding)|GO:0010438(cellular response to sulfur starvation)|GO:0030977(taurine binding)|GO:0055052(ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing)	complex portal:CPX-4312(complex-primary)|intenz:7.6.2.7(identity)|pubmed:10781534(see-also)|pubmed:18634750(see-also)	A sulfonate-sulfur utilization system required for the import of taurine (2-aminoethanesulfonic acid, CHEBI:15891) as a source of sulfur. The complex is expressed only under conditions of sulfate or cysteine starvation. Member of the ATP-binding cassette (ABC) transporter family, prokaryote-type (PK-type) subfamily.	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentamer	Taurine (CHEBI:15891)	-	-	-	-	psi-mi:"MI:0486"(UniProt)	Q47537(1)|Q47538(2)|Q47539(2)
CPX-4313	Aliphatic sulfonate ABC transporter complex	ssuABC complex	83333	P0AAI1(2)|P75851(2)|P75853(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0055052(ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing)|GO:0005524(ATP binding)|GO:0010438(cellular response to sulfur starvation)|GO:0043210(alkanesulfonate binding)|GO:0042959(alkanesulfonate transmembrane transporter activity)|GO:0042626(ATPase-coupled transmembrane transporter activity)|GO:0016021(integral component of membrane)	pubmed:18634750(see-also)|pubmed:10781534(see-also)|complex portal:CPX-4313(complex-primary)|intenz:3.6.3(identity)	A sulfonate-sulfur utilization system required for the import of aliphatic sulfonates as a source of sulfur. The complex is expressed only under conditions of sulfate or cysteine starvation. Member of the ATP-binding cassette (ABC) transporter family, prokaryote-type (PK-type) subfamily.	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentamer	Alkanesulfonate (CHEBI:134249)	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0AAI1(2)|P75851(2)|P75853(1)
CPX-4314	Arabinose ABC transporter complex	-	83333	P02924(1)|P0AAF3(2)|P0AE26(2)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0015612(L-arabinose-importing ATPase activity)|GO:0042882(L-arabinose transmembrane transport)|GO:0048029(monosaccharide binding)|GO:0055052(ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing)|GO:0005524(ATP binding)|GO:0016021(integral component of membrane)|GO:0016887(ATPase activity)	complex portal:CPX-4314(complex-primary)|pubmed:18634750(see-also)|intenz:7.5.2.12(identity)|pubmed:2656640(see-also)	High-affinity arabinose transporter, also transports fructose and xylose. Member of the ATP-binding cassette (ABC) transporter family, prokaryote-type (PK-type) subfamily. Transcription of the araFGH operon is positively regulated by the AraC protein (P0A9E0) in the presence of arabinose and cAMP bound to a cAMP receptor protein.	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentoamer	Arabinose (CHEBI:22599)|Fructose (CHEBI:28757)|Xylose (CHEBI:18222)	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P02924(1)|P0AAF3(2)|P0AE26(2)
CPX-4315	Autoinducer-2 ABC transporter complex	LuxS-regulated transporter complex|LsrACDB complex	83333	P0AFS1(1)|P76142(1)|P77257(2)|P77672(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:1905887(autoinducer AI-2 transmembrane transport)|GO:0055052(ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing)|GO:0042626(ATPase-coupled transmembrane transporter activity)|GO:0005524(ATP binding)|GO:0009372(quorum sensing)|GO:0016021(integral component of membrane)	complex portal:CPX-4315(complex-primary)|pubmed:15601708(see-also)|intenz:3.6.3(identity)|pubmed:17557827(see-also)|pubmed:18634750(see-also)	ABC transporter complex involved in autoinducer 2 (AI-2, (2R,4S)-2-methyltetrahydrofuran-2,3,3,4-tetrol, CHEBI:44800) import, small hormone-like organic molecules required for bacterial cell-to-cell communication. Member of the ATP-binding cassette (ABC) superfamily of transporters, prokaryote-type (PK-type) subfamily. Population-based multi-cellularity, has been termed quorum sensing. Extracellular AI-2 activity peaks during the mid- to late-exponential phase and rapidly decreases during entry into the stationary phase. The disappearance of extracellular AI-2 activity is due to its import by this complex. 	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentamer	Autoinducer 2 (AI-2, (2R,4S)-2-methyltetrahydrofuran-2,3,3,4-tetrol, CHEBI:44800)	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0AFS1(1)|P76142(1)|P77257(2)|P77672(1)
CPX-4316	Branched chain amino acid ABC transporter complex	LIV-I system complex	83333	P0A9S7(1)|P0AD96(1)|P0AEX7(1)|P22729(1)|P22731(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0016887(ATPase activity)|GO:0005524(ATP binding)|GO:0015658(branched-chain amino acid transmembrane transporter activity)|GO:0015803(branched-chain amino acid transport)|GO:0055052(ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing)|GO:0016021(integral component of membrane)	complex portal:CPX-4316(complex-primary)|intenz:3.6.3.(identity)|pubmed:14702302(see-also)|pubmed:18634750(see-also)|pubmed:2195019(see-also)	High-affinity branched-chain amino acid transport system, catalysing the uptake of the branched chain amino acids: L-leucine, L-isoleucine and L-valine. livJ also interacts weakly with threonine, serine, and alanine. Member of the ATP-binding cassette (ABC) superfamily of transporters, prokaryote-type (PK-type) subfamily.	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentamer	L-valine (CHEBI:16414)|L-isoleucine (CHEBI:17191)|L-Leucine (CHEBI:15603)	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0A9S7(1)|P0AD96(1)|P0AEX7(1)|P22729(1)|P22731(1)
CPX-4317	Branched chain amino acid, leucine-specific ABC transporter complex	LIV-I system complex	83333	P04816(1)|P0A9S7(1)|P0AEX7(1)|P22729(1)|P22731(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0016887(ATPase activity)|GO:0005524(ATP binding)|GO:0015658(branched-chain amino acid transmembrane transporter activity)|GO:0015803(branched-chain amino acid transport)|GO:0015823(phenylalanine transport)|GO:0055052(ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing)|GO:0016021(integral component of membrane)	intenz:3.6.3(identity)|pubmed:18634750(see-also)|pubmed:14702302(see-also)|pubmed:2195019(see-also)|complex portal:CPX-4317(complex-primary)|pubmed:14672931(see-also)	High-affinity branched-chain amino acid transport system, catalysing the uptake of the branched chain amino acids, such as L-leucine and the non-polar, aromatic amino acid, phenylalanine. Amino acids such as isoleucine and valine are not thought to bind with appreciable affinity. Member of the ATP-binding cassette (ABC) superfamily of transporters, prokaryote-type (PK-type) subfamily.	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentamer	L-Leucine (CHEBI:15603)|L-phenylalanine (CHEBI:17295)	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P04816(1)|P0A9S7(1)|P0AEX7(1)|P22729(1)|P22731(1)
CPX-4318	Arginine ABC transporter complex, artI variant	artPIQM complex	83333	P0AAF6(2)|P0AE30(1)|P0AE34(1)|P30859(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0005524(ATP binding)|GO:0015426(ATPase-coupled polar amino acid-transporter activity)|GO:0055052(ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing)|GO:0097638(L-arginine import across plasma membrane)|GO:0015181(arginine transmembrane transporter activity)|GO:0016021(integral component of membrane)	pubmed:8801422(see-also)|complex portal:CPX-4318(complex-primary)|intenz:7.4.2.1(identity)|pubmed:18634750(see-also)	High affinity arginine transporter. Member of the ATP-binding cassette (ABC) superfamily of transporters, prokaryote-type (PK-type) subfamily.	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporte	-	L-arginine (CHEBI:16467)	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0AAF6(2)|P0AE30(1)|P0AE34(1)|P30859(1)
CPX-4319	Arginine ABC transporter complex, artJ variant	-	83333	P0AAF6(2)|P0AE30(1)|P0AE34(1)|P30860(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0005524(ATP binding)|GO:0015426(ATPase-coupled polar amino acid-transporter activity)|GO:0055052(ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing)|GO:0097638(L-arginine import across plasma membrane)|GO:0015181(arginine transmembrane transporter activity)|GO:0016021(integral component of membrane)	pubmed:8801422(see-also)|pubmed:18634750(see-also)|complex portal:CPX-4319(complex-primary)|intenz:3.6.3(identity)	High affinity arginine transporter. Member of the ATP-binding cassette (ABC) superfamily of transporters, prokaryote-type (PK-type) subfamily.	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentamer	Arginine (CHEBI:29016)	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0AAF6(2)|P0AE30(1)|P0AE34(1)|P30860(1)
CPX-4320	D-allose ABC transporter complex	AlsBAC complex	83333	P32720(2)|P32721(2)|P39265(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0005524(ATP binding)|GO:0015615(D-allose-importing ATPase activity)|GO:0015611(D-ribose-importing ATPase activity)|GO:0015752(D-ribose transmembrane transport)|GO:0015754(allose transmembrane transport)|GO:0055052(ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing)|GO:0016021(integral component of membrane)	pubmed:18634750(see-also)|intenz:3.6.3.17(identity)|complex portal:CPX-4320(complex-primary)|pubmed:9401019(see-also)	High affinity D-allose binding transporter, also capable of the low-affinity transport of D-ribose. Member of the ATP-binding cassette (ABC) superfamily of transporters, prokaryote-type (PK-type) subfamily. 	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentamer	D-allose (CHEBI:17393)|D-ribose (CHEBI:16988)	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P32720(2)|P32721(2)|P39265(1)
CPX-4321	Dipeptide ABC transporter complex	Stationary phase-induced dipeptide permease complex|DdpABCDF complex|yddOPQRS complex	83333	P76128(1)|P77268(1)|P77308(1)|P77463(1)|P77622(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0055052(ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing)|GO:0071916(dipeptide transmembrane transporter activity)|GO:0042938(dipeptide transport)|GO:0042277(peptide binding)|GO:0042626(ATPase-coupled transmembrane transporter activity)|GO:0005524(ATP binding)|GO:0016021(integral component of membrane)	pubmed:18634750(see-also)|pubmed:21705338(see-also)|complex portal:CPX-4321(complex-primary)	D,D-dipeptide transporter that imports D-alanyl-D-alanine for use as an energy source under starvation conditions, ensuring that this is a a component of peptidoglycan that can be recycled by the cell. Member of the ATP-binding cassette (ABC) superfamily of transporters, prokaryote-type (PK-type) subfamily. Thought to have evolved from the general dipeptide (Dpp) transporter complex (CPX-4345), 	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentamer	D-alanyl-D-alanine (CHEBI:16576)	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P76128(1)|P77268(1)|P77308(1)|P77463(1)|P77622(1)
CPX-4323	Galactofuranose ABC transporter complex	Galactofuranose / galactopyranose ABC transporter complex|ytfQRTyjfF complex	83333	P37772(1)|P39325(1)|P39328(1)|Q6BEX0(2)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0015149(hexose transmembrane transporter activity)|GO:0005524(ATP binding)|GO:0042626(ATPase-coupled transmembrane transporter activity)|GO:0055052(ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing)|GO:0048029(monosaccharide binding)|GO:0140271(hexose import across plasma membrane)	complex portal:CPX-4323(complex-primary)|intenz:3.6.3(identity)|pubmed:18634750(see-also)|pubmed:19744923(see-also)	High affinity galactofuranose transporter enabling carbon scavenging via the utilization of rarer furanose forms of sugars. Member of the ATP-binding cassette (ABC) superfamily of transporters, prokaryote-type (PK-type) subfamily.	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentamer	D-galactofuranose (CHEBI:59497)	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P37772(1)|P39325(1)|P39328(1)|Q6BEX0(2)
CPX-4324	Glutamate/aspartate ABC transporter complex	GltiJKL	83333	P0AAG3(2)|P0AER3(1)|P0AER5(1)|P37902(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0016021(integral component of membrane)|GO:0015426(ATPase-coupled polar amino acid-transporter activity)|GO:0055052(ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing)|GO:0098712(L-glutamate import across plasma membrane)|GO:0140009(L-aspartate import across plasma membrane)|GO:0005524(ATP binding)	complex portal:CPX-4324(complex-primary)|intenz:7.4.2.1(identity)|pubmed:336628(see-also)	High affinity transporter of glutamate and aspartate. Member of the ATP-binding cassette (ABC) transporter family, prokaryote-type (PK-type) subfamily.	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentamer	L-gutamate (CHEBI:16015)|L-aspartate (CHEBI:17053)	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0AAG3(2)|P0AER3(1)|P0AER5(1)|P37902(1)
